Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
CA-NS5,TS_1_2_1,,-0.05,,,,3-5
CA-NS5,WS,,9,,,,3-5
CA-NS6,CO2,,6,,,,3-5
CA-NS6,FC,,6,,,,3-5
CA-NS6,H,,6,,,,3-5
CA-NS6,LE,,6,,,,3-5
CA-NS6,SW_IN,,6,,,,3-5
CA-NS6,NETRAD,,6,,,,3-5
CA-NS6,SWC,,-0.14,,,,3-5
CA-NS6,TA_1_1_1,,6,TEMP-Other,,Vasaila Relative Humidity/ Temperature Probe,3-5
CA-NS6,TS_1_1_1,,-0,,,,3-5
CA-NS6,TS_1_2_1,,-0.03,,,,3-5
CA-NS6,WS,,6,,,,3-5
CA-NS7,CO2,,6,,,,3-5
CA-NS7,FC,,6,,,,3-5
CA-NS7,H,,6,,,,3-5
CA-NS7,LE,,6,,,,3-5
CA-NS7,SWC_1_1_1,,-0.11,,,,3-5
CA-NS7,SWC_1_2_1,,-0.9,,,,3-5
CA-NS7,TS_1_1_1,,-0,,,,3-5
CA-NS7,TA_1_1_1,,,TEMP-Other,,Vasaila Relative Humidity/ Temperature Probe,3-5
CA-NS7,TS_1_2_1,,-0.03,,,,3-5
CA-NS7,WS,,6,,,,3-5
CA-NS8,CO2_1,,6,,,,1-1
CA-NS8,FC,,6,,,,1-1
CA-NS8,H,,6,,,,1-1
CA-NS8,LE,,6,,,,1-1
CA-NS8,SW_IN,,6,,,,1-1
CA-NS8,NETRAD,,6,,,,1-1
CA-NS8,TA,,6,TEMP-Other,,Vasaila Relative Humidity/ Temperature Probe,1-1
CA-NS8,WS,,6,,,,1-1
CA-Oas,CO2_1,,39,,,,1-1
CA-Oas,CO2_2,,28,,,,1-1
CA-Oas,FC,,39,,,,1-1
CA-Oas,H,,39,,,,1-1
CA-Oas,H2O,,39,,,,1-1
CA-Oas,LE,,39,,,,1-1
CA-Oas,PPFD_IN,,37,RAD-Other,,Li-Cor LI190,1-1
CA-Oas,PPFD_DIF,,36,,,,1-1
CA-Oas,PPFD_OUT,,31,RAD-Other,,Li-Cor LI190,1-1
CA-Oas,PA,,2,,,,1-1
CA-Oas,SW_IN,,37,RAD-Other,,Kipp & Zonen CM11,1-1
CA-Oas,LW_IN,,37,,,,1-1
CA-Oas,LW_OUT,,31,,,,1-1
CA-Oas,SW_OUT,,31,RAD-Other,,Kipp & Zonen CM11,1-1
CA-Oas,RH,,37,RH-Other,,Vaisala HMP,1-1
CA-Oas,NETRAD,,37,,,,1-1
CA-Oas,SWC_1,,-0.025,,,,1-1
CA-Oas,SWC_2,,-0.075,,,,1-1
CA-Oas,TA,,37,TEMP-Other,,Vaisala HMP,1-1
CA-Oas,TS_1,,-0.02,TEMP-Other,,Campbell Scientific Copper-Constantan 105T thermocouple,1-1
CA-Oas,TS_2,,-0.05,TEMP-Other,,Campbell Scientific Copper-Constantan 105T thermocouple,1-1
CA-Oas,USTAR,,39,,,,1-1
CA-Oas,VPD_PI,,37,,,,1-1
CA-Oas,WD,,38,WIND-Other,,Young Propeller Anemometer,1-1
CA-Oas,WS,,38,,,,1-1
CA-Obs,CO2_1,,25,,,,1-1
CA-Obs,CO2_2,,22,GA-Other,,LI-6262,1-1
CA-Obs,FC,,25,,,,1-1
CA-Obs,G,,-0.1,,,,1-1
CA-Obs,H,,25,,,,1-1
CA-Obs,H2O,,25,,,,1-1
CA-Obs,LE,,25,,,,1-1
CA-Obs,PA,,2,,,,1-1
CA-Obs,PPFD_IN,,25,RAD-Other,,Li-Cor LI190,1-1
CA-Obs,PPFD_DIF,,25,,,,1-1
CA-Obs,PPFD_OUT,,20,RAD-Other,,Li-Cor LI190,1-1
CA-Obs,SW_IN,,25,RAD-Other,,Kipp & Zonen CM11,1-1
CA-Obs,LW_IN,,25,,,,1-1
CA-Obs,LW_OUT,,20,,,,1-1
CA-Obs,SW_OUT,,20,RAD-Other,,Kipp & Zonen CM11,1-1
CA-Obs,RH,,25,RH-Other,,Vaisala HMP,1-1
CA-Obs,NETRAD,,25,,,,1-1
CA-Obs,SWC_1,,-0.025,,,,1-1
CA-Obs,SWC_2,,-0.075,,,,1-1
CA-Obs,TA,,25,TEMP-Other,,Vaisala HMP,1-1
CA-Obs,TS_1,,-0.02,TEMP-Other,,Campbell Scientific Copper-Constantan 105T thermocouple,1-1
CA-Ojp,G_1_1_1,,-0,,,,2-5
CA-Obs,TS_2,,-0.05,TEMP-Other,,Campbell Scientific Copper-Constantan 105T thermocouple,1-1
CA-Obs,USTAR,,25,,,,1-1
CA-Obs,VPD_PI,,25,,,,1-1
CA-Obs,WD,,26,WIND-Other,,Young Propeller Anemometer,1-1
CA-Obs,WS,,26,,,,1-1
CA-Ojp,CO2_1_3_1,,28,,,,2-5
CA-Ojp,CO2_1_4_1,,25,GA-Other,,(IRGA) model LI-6262,2-5
CA-Ojp,FC,,28,,,,2-5
CA-Ojp,H,,28,,,,2-5
CA-Ojp,LE,,28,,,,2-5
CA-Ojp,PPFD_IN_1_1_1,,28,RAD-Other,,Li-Cor LI 190SB,2-5
CA-Ojp,PPFD_DIF,,28,,,,2-5
CA-Ojp,PPFD_OUT,,23,,,,2-5
CA-Ojp,PA,,2,,,,2-5
CA-Ojp,SW_IN,,28,RAD-Other,,Kipp & Zonen CM11,2-5
CA-Ojp,LW_IN,,28,RAD-Other,,Eppley PIR,2-5
CA-Ojp,LW_OUT,,23,RAD-Other,,Eppley PIR,2-5
CA-Ojp,SW_OUT,,23,RAD-Other,,Kipp & Zonen CM11,2-5
CA-Ojp,RH_1_1_1,,28,RH-Other,,Vaisala HMP in a gill radiation shield,2-5
CA-Ojp,NETRAD_1_1_1,,28,,,,2-5
CA-Ojp,SWC_1_1_1,,,SWC-Other,,CS615 soil moisture sensor,2-5
CA-Ojp,SWC_1_2_1,,-0.3,SWC-Other,,CS615 soil moisture sensor,2-5
CA-Ojp,TA_1_1_1,,28,TEMP-Other,,Vaisala HMP n a gill radiation shield,2-5
CA-Qc2,NETRAD_PI_F,,15,,,,1-5
CA-Qc2,G_1_2_2,,-0.08,,,,1-5
CA-Ojp,TS_1_1_1,,-0.02,TEMP-Other,,Queens Univ-made thermo-couple rod,2-5
CA-Ojp,TS_1_2_1,,-0.05,TEMP-Other,,Queens Univ-made thermo-couple rod,2-5
CA-Ojp,USTAR,,28,,,,2-5
CA-Ojp,VPD_PI,,28,,,,2-5
CA-Ojp,WD,,29,,,,2-5
CA-Qc2,TA_PI_F_1,,15,,,,1-5
CA-Ojp,WS,,29,WIND-Other,,RM Young pro-peller anemometer,2-5
CA-Qc2,SWC_PI_2,,-0.1,,,,1-5
CA-Qc2,SWC_PI_3,,-0.2,,,,1-5
CA-Qc2,SWC_PI_4,,-0.5,,,,1-5
CA-Qc2,SWC_PI_1,,-0.05,,,,1-5
CA-Qc2,CO2_1_2_1,,3,,,,1-5
CA-Qc2,SWC_1_2_1,,-0.1,,,,1-5
CA-Qc2,SWC_1_3_1,,-0.2,,,,1-5
CA-Qc2,SWC_1_4_1,,-0.5,,,,1-5
CA-Qc2,SWC_1_1_1,,-0.05,,,,1-5
CA-Qc2,SWC_2_2_1,,-0.1,,,,1-5
CA-Qc2,SWC_2_3_1,,-0.2,,,,1-5
CA-Qc2,SWC_2_4_1,,-0.5,,,,1-5
CA-Qc2,SWC_2_1_1,,-0.05,,,,1-5
CA-Qc2,CO2_1_1_1,,15,,,,1-5
CA-Qc2,USTAR,,15,,,,1-5
CA-Qc2,TA_1_1_2,,15,,,,1-5
CA-Qc2,TA_1_2_1,,5,,,,1-5
CA-Qc2,RH_1_1_1,,15,,,,1-5
CA-Qc2,RH_1_2_1,,5,,,,1-5
CA-Qc2,PPFD_IN_1_1_3,,15,,,,1-5
CA-Qc2,PPFD_IN_1_1_1,,15,,,,1-5
CA-Qc2,PPFD_IN_1_1_2,,15,,,,1-5
CA-Qc2,FC_1_1_2,,15,,,,1-5
CA-Qc2,LE_1_1_2,,15,,,,1-5
CA-Qc2,FC_1_1_1,,15,,,,1-5
CA-Qc2,PPFD_IN_1_2_1,,1,,,,1-5
CA-Qc2,PPFD_OUT,,14,,,,1-5
CA-Qc2,LE_1_1_1,,15,,,,1-5
CA-Qc2,G_1_2_1,,-0.08,,,,1-5
CA-Qc2,TS_PI_F_2,,-0.05,,,,1-5
CA-Qc2,SC,,7.5,,,,1-5
CA-Qc2,SLE,,7.5,,,,1-5
CA-Qc2,SH,,7.5,,,,1-5
CA-Qc2,RH_PI_F_1,,15,,,,1-5
CA-Qc2,TS_1_1_1,,-0.03,,,,1-5
CA-Qc2,TS_1_3_1,,-0.1,,,,1-5
CA-Qc2,TS_1_4_1,,-0.2,,,,1-5
CA-Qc2,TS_1_5_1,,-0.5,,,,1-5
CA-Qc2,TS_1_2_1,,-0.05,,,,1-5
CA-Qc2,TS_2_1_1,,-0.03,,,,1-5
CA-Qc2,TS_2_3_1,,-0.1,,,,1-5
CA-Qc2,TS_2_4_1,,-0.2,,,,1-5
CA-Qc2,TS_2_5_1,,-0.5,,,,1-5
CA-Qc2,TS_2_2_1,,-0.05,,,,1-5
CA-Qc2,H_1_1_1,,15,,,,1-5
CA-Qc2,TA_1_1_1,,15,,,,1-5
CA-Qc2,H_1_1_2,,15,,,,1-5
CA-Qc2,WD,,15,,,,1-5
CA-Qc2,WS,,15,,,,1-5
CA-Qc2,WS_PI_F,,15,,,,1-5
CA-Qcu,CO2_1,,7,,,,1-1
CA-Qcu,FC,,7,GA-Other,,LI-7500 IRGA,1-1
CA-Qcu,G,,-0,,,,1-1
CA-Qcu,H,,7,SA-Other,,fine-wire thermocouple,1-1
CA-Qcu,LE,,7,GA-Other,,LI-7500 IRGA,1-1
CA-Qcu,PPFD_IN,,7.5,RAD-Other,,LI-190SB,1-1
CA-Qcu,PPFD_OUT,,7,RAD-Other,,LI-190SB,1-1
CA-Qcu,P,,3.6,PREC-Other,,TR525M-RI,1-1
CA-Qcu,PA,,1.6,PRES-Other,,Vaisala Pressure Transmitter,1-1
CA-Qcu,SW_IN,,2.5,RAD-Other,,Middleton CNR1,1-1
CA-Qcu,LW_IN,,2.5,RAD-Other,,Middleton CNR1,1-1
CA-Qcu,LW_OUT,,2.5,RAD-Other,,Middleton CNR1,1-1
CA-Qcu,SW_OUT,,2.5,RAD-Other,,Middleton CNR1,1-1
CA-Qfo,PPFD_DIF,,22,,,,2-5
CA-Qcu,RH,,6,RH-Other,,Campbell Scientific HMP45C,1-1
CA-Qcu,NETRAD,,2.5,,,,1-1
CA-Qcu,SH,,,TEMP-Other,,fine-wire thermocouple,1-1
CA-Qcu,SWC_2,,-0.2,,,,1-1
CA-Qcu,SWC_1,,-0.05,,,,1-1
CA-Qfo,PPFD_IN_1_1_1,,22,,,,2-5
CA-Qcu,TA,,6,TEMP-Other,,Campbell Scientific HMP45C,1-1
CA-Qcu,TS_1,,-0.02,TEMP-Other,,Copper-constantan thermocouple,1-1
CA-Qfo,PPFD_OUT,,22,,,,2-5
CA-Qfo,PA,,1.6,,,,2-5
CA-Qfo,SW_IN,,22,,,,2-5
CA-Qfo,LW_IN,,22,,,,2-5
CA-Qcu,TS_2,,-0.05,TEMP-Other,,Copper-constantan thermocouple,1-1
CA-Qfo,LW_OUT,,22,,,,2-5
CA-Qfo,SW_OUT,,22,,,,2-5
CA-Qcu,USTAR,,7,,,,1-1
CA-Qcu,VPD_PI,,6,,,,1-1
CA-Qcu,WD,,7,WIND-Other,,RM Young Wind Monitor,1-1
CA-Qcu,WS,,7,WIND-Other,,RM Young Wind Monitor,1-1
CA-Qfo,CO2_1_1_1,,24,GA-Other,,LI-7000 IRGA,2-5
CA-Qfo,FC_1_1_1,,24,GA-Other,,LI-7000 IRGA,2-5
CA-Qfo,G_1_1_1,,-0,,,,2-5
CA-Qfo,RH_1_1_1,,24,,,,2-5
CA-Qfo,H_1_1_1,,24,SA-Other,,fine-wire thermocouple,2-5
CA-Qfo,LE_1_1_1,,24,GA-Other,,LI-7000 IRGA,2-5
CA-Qfo,P,,,PREC-Other,,Geonor T200B Precipitation gauge,2-5
CA-Qfo,NETRAD,,22,,,,2-5
CA-Qfo,SC,,24,,,,2-5
CA-Qfo,SH,,,TEMP-Other,,HMP-45C sensors,2-5
CA-Qfo,SLE,,,GA-Other,,HMP-45C sensors,2-5
CA-Qfo,SWC_1_1_1,,-0.05,,,,2-5
CA-Qfo,SWC_1_2_1,,-0.1,,,,2-5
CA-Qfo,TA_1_1_1,,24,,,,2-5
CA-Qfo,TS_1_1_1,,-0.02,,,,2-5
CA-SF1,FC,,12.1,,,,1-1
CA-SF1,G,,-0.03,,,,1-1
CA-Qfo,TS_1_2_1,,-0.05,,,,2-5
CA-Qfo,USTAR,,24,,,,2-5
CA-Qfo,VPD_PI,,24,,,,2-5
CA-Qfo,WD,,24,,,,2-5
CA-Qfo,WS,,24,,,,2-5
CA-SF1,CO2_1,,12.1,,,,1-1
CA-SF1,H,,12.1,,,,1-1
CA-SF1,H2O,,12.1,,,,1-1
CA-SF1,LE,,12.1,,,,1-1
CA-SF1,PPFD_IN,,12.1,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,1-1
CA-SF1,PPFD_OUT,,12.1,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,1-1
CA-SF1,P,,1,PREC-Other,,Rain Texas Instrument Tipping Bucket Rain Gauge TE525,1-1
CA-SF2,FC,,9.144,,,,3-5
CA-SF3,FC,,18.288,,,,1-1
CA-SF1,PA,,1.0,PRES-Other,,Vaisala PTB101B Barometric Pressure Sensor,1-1
CA-SF1,SW_IN,,12.1,RAD-Other,,Kipp & Zonen four components radiation sensor,1-1
CA-SF1,LW_IN,,12.1,RAD-Other,,CNR1 Kipp & Zonen four components radiation sensor,1-1
CA-SF1,LW_OUT,,12.1,RAD-Other,,CNR1 Kipp & Zonen four components radiation sensor,1-1
CA-SF1,SW_OUT,,12.1,RAD-Other,,Kipp & Zonen four components radiation sensor,1-1
CA-SF1,RH,,1.5,RH-Other,,Vaisala HMP45C,1-1
CA-SF1,NETRAD,,12.1,RAD-Other,,CNR1 Kipp & Zonen four components radiation sensor,1-1
CA-SF1,SWC_1,,-0.3,,,,1-1
CA-SF1,USTAR,,12.1,,,,1-1
CA-SF1,VPD_PI,,1.5,,,,1-1
CA-SF1,TA,,1.5,TEMP-Other,,Vaisala HMP45C,1-1
CA-SF1,TS_1,,-0.02,TEMP-Other,,Type E (chromel-constantan) Omega EXPP-24S,1-1
CA-SJ1,PPFD_IN_PI_F_1_2_1,,4,,,,1-5
CA-SF2,CO2,,9.144,,,,3-5
CA-SF1,TS_2,,-0.05,TEMP-Other,,Type E (chromel-constantan) Omega EXPP-24S,1-1
CA-SF1,WD,,12.1,WIND-Other,,R.M. Young wind monitor sn WM50619,1-1
CA-SF1,WS,,12.1,WIND-Other,,R.M. Young wind monitor sn WM50619,1-1
CA-SF2,G_1_1_1,,-0.03,SOIL_H-Other,,REBS_SoilHeatFlux_0.03m_repA (W/m2),3-5
CA-SF3,G,,-0.03,,,,1-1
CA-SF3,H,,18.288,,,,1-1
CA-SF2,H,,9.144,,,,3-5
CA-SF2,H2O,,9.144,,,,3-5
CA-SF2,LE,,9.144,,,,3-5
CA-SF2,PPFD_IN,,9.144,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,3-5
CA-SF2,PPFD_OUT,,9.144,RAD-Other,,Kipp & Zonen PAR lite Quantum Sensor,3-5
CA-SF2,P,,1,,,,3-5
CA-SF2,PA,,1.0,PRES-Other,,Vaisala_atm_pressure [kPa] Vaisala PTB101B Barometric Pressure Sensor,3-5
CA-SF2,SW_IN,,9.144,RAD-Other,,CNR1,3-5
CA-SF2,LW_IN,,9.144,RAD-Other,,Kipp & Zonen four components radiation sensor,3-5
CA-SF2,LW_OUT,,9.144,RAD-Other,,CNR1,3-5
CA-SF2,SW_OUT,,9.144,RAD-Other,,CNR1,3-5
CA-SF2,RH,,1.5,RH-Other,,Vaisala HMP45C relative humidity,3-5
